time(s)	[MKKK]	[MKKK-P]	[MKK]	[MKK-P]	[MKK-PP]	[MAPK]	[MAPK-P]	[MAPK-PP]
0.0	96.00	3.22	275.57	NaN	NaN	281.08	1.72	NaN
121.6	14.51	73.54	171.94	82.00	86.73	230.68	47.31	36.04
243.2	30.43	70.18	29.41	67.44	205.21	NaN	1.16	285.51
364.9	46.35	55.57	34.25	23.65	260.99	NaN	24.33	NaN
486.5	68.12	33.06	8.20	19.24	251.56	NaN	1.10	NaN
608.1	77.05	22.53	NaN	30.47	236.12	21.64	24.67	277.29
729.7	70.05	9.36	76.78	55.80	191.63	2.69	NaN	NaN
851.4	88.63	12.44	NaN	54.45	118.04	NaN	7.51	NaN
973.0	99.82	NaN	206.75	43.71	60.19	7.17	11.24	279.62
1094.6	99.98	1.77	258.81	26.20	NaN	28.34	48.40	269.91
1216.2	NaN	7.16	288.72	11.63	1.05	42.86	43.08	193.12
1337.8	NaN	1.27	284.06	16.83	NaN	103.08	72.54	125.91
1459.5	69.24	13.59	NaN	20.44	2.63	139.74	80.75	83.10
1581.1	87.58	NaN	286.91	41.26	11.39	208.03	52.10	59.98
1702.7	56.66	50.77	236.58	19.47	14.68	204.42	45.41	42.40
1824.3	46.65	58.65	156.41	77.05	90.95	103.49	84.20	121.51
1945.9	52.26	39.06	109.70	76.43	106.70	0.47	5.33	288.76
2067.6	75.51	18.49	122.47	76.83	118.36	6.08	1.11	NaN
2189.2	97.79	5.30	163.99	80.38	69.85	27.21	NaN	269.31
2310.8	NaN	NaN	197.74	89.53	14.70	5.26	13.68	279.01
2432.4	76.19	NaN	264.26	46.97	NaN	36.13	37.77	NaN
2554.1	NaN	12.59	297.74	NaN	NaN	84.23	52.82	186.14
2675.7	96.20	NaN	275.04	16.52	19.65	120.49	54.83	146.08
2797.3	NaN	NaN	293.23	17.09	NaN	148.36	46.88	73.60
2918.9	58.93	22.35	269.25	13.90	NaN	194.97	49.49	46.10
3040.5	39.85	59.63	214.71	29.78	13.08	182.14	66.45	22.96
3162.2	28.38	60.13	141.93	56.46	73.32	NaN	49.18	145.73
3283.8	66.29	40.44	69.45	62.74	81.31	19.79	NaN	NaN
3405.4	93.89	28.15	104.57	83.49	109.65	0.26	NaN	NaN
3527.0	85.87	30.08	165.82	80.32	58.96	14.60	1.87	NaN
3648.6	89.41	NaN	218.84	NaN	NaN	0.44	23.78	267.08
3770.3	92.43	9.76	268.25	26.52	NaN	42.84	64.73	230.58
3891.9	92.82	4.49	NaN	NaN	NaN	80.81	47.16	155.07
4013.5	NaN	NaN	281.36	NaN	NaN	148.83	41.94	125.70
4135.1	84.68	24.48	279.89	1.26	NaN	176.23	53.96	67.80
4256.8	58.90	34.99	256.45	16.65	18.15	212.85	65.62	52.53
4378.4	54.13	68.81	192.44	29.39	53.27	161.14	79.92	60.61
4500.0	37.66	32.35	133.83	82.03	98.28	9.23	61.08	206.84
4621.6	NaN	18.02	103.43	53.37	124.01	5.37	2.89	287.16
4743.2	82.78	20.06	123.08	90.45	95.07	NaN	18.61	NaN
4864.9	NaN	NaN	164.00	79.66	37.90	NaN	10.91	285.44
4986.5	88.10	5.30	249.28	53.18	5.61	12.91	NaN	239.49
5108.1	NaN	NaN	289.36	20.48	NaN	73.47	35.32	NaN
5229.7	95.62	19.56	NaN	NaN	NaN	92.24	45.33	NaN
5351.4	76.77	15.18	296.40	2.37	15.03	145.45	70.31	95.78
5473.0	91.05	14.81	294.26	0.75	19.23	177.45	53.43	61.51
5594.6	28.68	35.50	265.61	45.35	22.93	177.60	59.68	47.60
5716.2	22.42	NaN	164.44	71.00	58.73	126.59	NaN	92.87
5837.8	43.51	NaN	120.75	83.34	NaN	23.49	30.98	275.63
5959.5	92.53	23.17	114.51	88.98	114.79	NaN	6.16	292.61
6081.1	NaN	8.75	137.27	94.75	73.64	NaN	10.02	287.38
6202.7	79.40	2.49	217.63	88.12	NaN	NaN	11.25	290.13
6324.3	94.02	22.69	243.42	46.80	4.13	31.44	20.06	252.80
6445.9	86.15	NaN	286.90	14.04	NaN	61.43	42.19	172.93
6567.6	96.19	20.64	296.73	NaN	4.87	123.74	36.64	149.74
6689.2	NaN	2.89	292.22	6.85	NaN	153.22	54.26	86.70
6810.8	63.18	22.44	274.39	22.76	NaN	169.26	88.95	41.61
6932.4	NaN	58.69	218.61	31.26	32.45	188.03	83.11	24.42
7054.1	43.76	38.72	157.87	65.04	75.14	85.32	87.25	143.96
7175.7	57.11	40.07	105.71	NaN	134.97	13.45	9.13	294.85
7297.3	88.29	18.40	102.12	99.39	121.08	16.59	13.61	297.50
7418.9	NaN	NaN	174.60	91.26	53.81	13.81	10.55	287.56
7540.5	99.30	6.60	225.01	85.92	2.08	NaN	28.29	NaN
7662.2	77.80	11.11	290.63	34.14	NaN	62.24	49.38	NaN
7783.8	86.30	13.03	295.18	16.48	NaN	99.59	33.86	188.51
7905.4	81.28	0.79	NaN	NaN	18.10	127.97	52.53	116.43
8027.0	78.75	14.65	NaN	9.76	NaN	164.18	59.15	74.58
8148.6	56.73	41.28	243.70	14.01	26.90	198.97	52.98	42.70
8270.3	51.75	60.24	183.72	54.11	66.66	179.91	53.78	NaN
8391.9	NaN	41.31	136.65	NaN	132.00	39.80	86.70	204.36
8513.5	67.31	13.66	102.26	81.29	111.48	NaN	11.29	NaN
8635.1	91.60	18.74	120.11	84.44	87.14	19.55	NaN	296.54
8756.8	NaN	10.51	184.40	94.54	66.17	NaN	NaN	NaN
8878.4	97.85	22.55	254.70	40.88	NaN	9.23	27.93	260.03
9000.0	92.49	NaN	289.50	28.23	NaN	46.23	30.08	201.10
